key,rmse
0.0,10315.825523634443
1.0,2467.618752528361
2.0,3254.1694389275754
3.0,2599.2495923604956
4.0,1860.8068864561938
5.0,2181.54235421971
6.0,3257.4183880626565
7.0,4038.78228701718
8.0,4335.032530974283
9.0,2634.317152426571
10.0,2746.6461485390037
11.0,2758.948879820449
12.0,3114.0978736021425
13.0,6698.673825888235
14.0,5027.083113682408
15.0,3653.8199421638437
16.0,2956.2925507179903
17.0,3405.3177248328084
18.0,2854.5180782471925
19.0,3736.977993901098
20.0,4507.593642449967
21.0,4615.421746341287
22.0,4246.458892428697
23.0,2837.854214263145
