key,rmse
0,0.35617332062155166
1,0.17654863645961116
2,0.16984055658890584
3,0.20884277572813156
4,0.22597029071134533
5,0.2026033599363754
6,0.2195444978634438
7,0.9496440613727637
8,2.6897128149067275
9,4.932924889808769
10,7.553098370488699
11,9.406722080927553
12,10.261255994053938
13,11.714910542396794
14,11.52257103251852
15,11.428136674107217
16,11.254203683390374
17,11.55868369637997
18,10.312385700885185
19,6.179758700547947
20,3.3299935925148274
21,0.9422182792860194
22,0.2657309335758028
23,0.2475820127054147
