key,rmse
0,310.78269909614176
1,284.1982951827894
2,85.63051272909654
3,72.50727872629778
4,59.63752230101481
5,74.29153096148731
6,132.59169808183503
7,176.45118180227828
8,182.57081201752175
9,202.71783289551044
10,180.51091692526273
11,126.96719151949313
12,53.192357401166696
13,41.10579601685095
14,30.706229404494973
15,37.040149975216615
16,39.87318890372172
17,66.69800213042639
18,129.51159110583905
19,196.73893917971856
20,250.9513785603665
21,234.3609005642035
22,205.24926034278502
23,171.27947949826682
