target,mae_base,mae_model,rmse_base,rmse_model,nmae_base,nmae_model,mae_improv_%,rmse_improv_%
wind,30296.4456184679,1454.223057428049,40048.50217616181,3000.009843196822,0.4141189313858587,0.019866613948656194,95.20002090099445,92.50905856603416
solar_pv,13686.635236016999,5187.2175838951935,30251.365927055664,15902.693139671315,0.1954291922388839,0.07398660241318565,62.10012545490512,47.43148729873201
demand,21274.85804525095,2292.212155546687,32413.481192737203,5202.938009951464,0.06826522452117015,0.0073553352352227095,89.22572291353848,83.94822827263222
